transaction_id,user_id,date,month,category,amount,income
1,39,2024-03-11,2024-03,Travel,572.89,93199.39
2,21,2024-09-06,2024-09,Food,412.08,29997.49
3,11,2023-03-29,2023-03,Entertainment,600.51,34286.68
4,3,2024-10-23,2024-10,Bills,753.85,92199.88
5,30,2025-03-16,2025-03,Bills,503.5,119221.16
6,33,2024-04-04,2024-04,Shopping,1912.63,20706.63
7,25,2024-07-14,2024-07,Travel,338.63,59986.1
8,28,2024-11-30,2024-11,Travel,251.5,65607.0
9,47,2024-07-16,2024-07,Education,2603.54,118323.09
10,3,2024-04-29,2024-04,Food,525.28,37052.41
11,39,2023-10-01,2023-10,Food,764.22,116563.2
12,50,2025-02-15,2025-02,Travel,58.78,43089.38
13,28,2024-01-02,2024-01,Bills,3574.69,80999.67
14,8,2023-02-04,2023-02,Bills,4591.94,45878.0
15,40,2024-01-23,2024-01,Food,318.2,72006.8
16,42,2025-02-10,2025-02,Bills,1331.85,116958.46
17,26,2024-07-09,2024-07,Education,5667.24,109482.74
18,14,2025-05-12,2025-05,Bills,4648.43,28849.25
19,23,2023-09-09,2023-09,Other,92.97,52533.03
20,16,2025-01-18,2025-01,Entertainment,516.32,102873.75
21,26,2023-08-05,2023-08,Food,296.65,74269.61
22,41,2023-06-06,2023-06,Shopping,2446.15,27455.06
23,7,2024-06-04,2024-06,Education,4747.35,39871.57
24,24,2023-03-04,2023-03,Health,3298.75,90685.73
25,35,2024-02-23,2024-02,Entertainment,1191.21,27404.47
26,39,2023-02-10,2023-02,Shopping,2761.89,105003.86
27,12,2023-02-02,2023-02,Bills,786.01,51098.23
28,24,2025-03-15,2025-03,Health,2972.5,83755.75
29,27,2024-06-30,2024-06,Travel,309.72,31959.42
30,14,2024-10-04,2024-10,Travel,468.43,76127.72
31,14,2025-05-20,2025-05,Education,722.38,91066.29
32,26,2024-07-07,2024-07,Travel,291.64,40171.92
33,32,2025-01-12,2025-01,Health,2006.41,76327.56
34,4,2025-01-03,2025-01,Health,729.46,80441.74
35,15,2023-06-20,2023-06,Entertainment,424.13,114285.36
36,7,2024-11-29,2024-11,Food,586.35,108046.78
37,42,2024-07-10,2024-07,Other,330.85,30549.43
38,28,2023-01-28,2023-01,Travel,170.14,61650.99
39,11,2024-10-01,2024-10,Education,4940.92,109609.13
40,39,2023-07-09,2023-07,Travel,110.53,42793.52
41,13,2025-01-14,2025-01,Entertainment,561.45,36465.59
42,27,2024-10-10,2024-10,Health,2042.35,89243.6
43,42,2024-11-14,2024-11,Bills,1598.56,36829.1
44,32,2024-08-30,2024-08,Travel,356.96,60383.62
45,49,2024-03-17,2024-03,Food,773.71,45178.23
46,2,2024-01-22,2024-01,Bills,1853.95,48484.05
47,17,2024-11-29,2024-11,Entertainment,972.91,70267.9
48,23,2025-01-05,2025-01,Travel,549.55,43956.19
49,2,2023-02-22,2023-02,Bills,2702.54,118565.05
50,32,2023-09-04,2023-09,Travel,419.67,96161.96
51,17,2025-02-05,2025-02,Education,4917.27,67030.06
52,34,2023-07-17,2023-07,Entertainment,688.41,101643.19
53,16,2024-08-31,2024-08,Other,193.18,70819.88
54,16,2023-12-15,2023-12,Health,3461.76,52595.89
55,36,2024-02-07,2024-02,Shopping,2191.22,100950.1
56,20,2025-05-13,2025-05,Health,565.47,114052.33
57,40,2024-10-01,2024-10,Health,2167.46,103771.01
58,11,2024-04-17,2024-04,Bills,1440.82,74144.8
59,42,2024-09-02,2024-09,Entertainment,458.54,37495.49
60,48,2024-07-25,2024-07,Travel,193.46,119625.37
61,12,2024-03-28,2024-03,Shopping,2721.17,83310.15
62,9,2023-08-21,2023-08,Bills,2071.44,92595.57
63,3,2024-02-08,2024-02,Shopping,2683.84,97987.55
64,24,2024-09-19,2024-09,Other,129.93,36162.87
65,38,2023-04-14,2023-04,Education,3835.36,20919.71
66,25,2023-04-09,2023-04,Entertainment,1464.45,48392.1
67,46,2023-12-04,2023-12,Bills,2685.26,64842.41
68,41,2023-06-10,2023-06,Health,268.69,69389.37
69,48,2024-05-18,2024-05,Food,554.74,104922.34
70,17,2024-10-01,2024-10,Bills,3057.39,29367.48
71,22,2024-01-10,2024-01,Food,275.32,78987.08
72,38,2023-12-31,2023-12,Health,2049.62,110609.88
73,27,2023-08-14,2023-08,Education,2425.43,84510.34
74,47,2024-04-25,2024-04,Entertainment,413.58,92245.21
75,19,2024-05-30,2024-05,Travel,63.37,84547.23
